Dataset,Method,R²,R² std,RMSE,RMSE std,MAE,MAE std,Spearman,Spearman std
tecator,MLP,0.993188740542206,0.003624273997275875,1.2066714033659105,0.3437716730637902,0.8601397425059973,0.1958813771622203,0.9903669950082475,0.00806833208124639
tecator,Linear-MLP,0.9927977897230056,0.0030155161728465155,1.2529071616306753,0.2795823291415327,0.9312174356714564,0.18144916959438115,0.9896273728477718,0.0068510148793973465
tecator,Identity-MLP,0.9901357238548579,0.004043856702809039,1.4752233721003336,0.34692834191734706,1.1266524487408351,0.2855634514101024,0.9849739220343283,0.00878449257418383
tecator,NoAct-MLP,0.9913804528973118,0.0048027908764794345,1.3530157781831578,0.45793043593205973,0.9077542090658322,0.24246946762602675,0.9925409645875087,0.0050943080897570235
tecator,IdentityNoAct-MLP,0.9929002484466792,0.0033762669441150506,1.2351834955753125,0.3182943482798343,0.8669210859121572,0.20957121219145244,0.9893010562341157,0.01001074089311741
tecator,RW-MLP,0.9934087956434482,0.0029279644992026965,1.1973836433162315,0.28232448258707216,0.8601700453611378,0.21413840766718722,0.9919982313554276,0.006784358424034159
space_ga,MLP,0.7467551845861857,0.02284944673233852,0.09876189264281068,0.005621776768967996,0.07400327383278361,0.0035151567422710404,0.8677821882505008,0.01326697442175464
space_ga,Linear-MLP,0.7107149973478658,0.030489220910787155,0.10555096637817112,0.007019076973016605,0.0786130462058386,0.005275917121247195,0.8488800635108072,0.014346487204431142
space_ga,Identity-MLP,0.694828840694536,0.0318793395681952,0.10851168135998342,0.008715931111552312,0.08086173797158594,0.005019975737085343,0.8333222950399499,0.013925039685384038
space_ga,NoAct-MLP,0.7367136787017426,0.022203428689775095,0.10088000192175872,0.008169626600215096,0.07584778034502682,0.005742703568241718,0.8623701259843776,0.015452272833225904
space_ga,IdentityNoAct-MLP,0.7507685939857187,0.017849311816351732,0.09809796962290404,0.006552359268743851,0.07374015365872783,0.00420076903781508,0.8701289764068522,0.010585021159513056
space_ga,RW-MLP,0.7531123563181615,0.01879140265793559,0.09753678315734306,0.005150559702928631,0.0733788913441938,0.0033284610581825217,0.8714824108574757,0.01171194107212814
boston,MLP,0.8704025339205632,0.06230215859041859,3.009781331324452,0.733153359564134,2.023940516630367,0.2802198041957071,0.8942910699090663,0.038971231683658104
boston,Linear-MLP,0.856130798738876,0.0567982678215378,3.2028924572846735,0.6912200499400091,2.1752872246729105,0.29862043357991014,0.8887627730362222,0.03392500112050915
boston,Identity-MLP,0.8207666059178456,0.08528962877060398,3.5185935962187607,0.8196925941992179,2.3055592836577796,0.27994098096359743,0.8700154516434908,0.03749616562565398
boston,NoAct-MLP,0.8459427980799609,0.0759348040185543,3.2805898189994736,0.8557950601860277,2.142166974856132,0.3556692143694023,0.8876234051156515,0.03024046493698132
