Dataset,Method,Accuracy,Accuracy std,F1,F1 std,AUC,AUC std
balance-scale,XGBoost,0.8412698412698412,0.02459037045211056,0.6017695204299519,0.01049943090840292,0.9086274509803921,0.02635149977572659
balance-scale,CatBoost,0.8952380952380953,0.01904761904761905,0.6268533590177979,0.010852349464543326,0.9430087897227857,0.017220139643825343
balance-scale,LightGBM,0.8507936507936508,0.024794443415576666,0.6279176633867907,0.04450673940390944,0.9220419202163624,0.021704864971112743
balance-scale,RandomForest,0.8349206349206348,0.02767554884787728,0.6006896670929042,0.012870001029973868,0.8299154834347533,0.028620165140522312
balance-scale,MLP,0.9666666666666666,0.01318511724272712,0.9251752831539968,0.02904671151461823,0.9963353617308993,0.002965409637853853
balance-scale,RW-MLP,0.9698412698412697,0.01497457322548668,0.9318539748326884,0.03233293073460587,0.9971737660581473,0.0028203399434192948
balance-scale,Linear-MLP,0.9365079365079365,0.04545340020087732,0.8220172655237195,0.1486398689793553,0.9819066937119676,0.014982163009160266
balance-scale,FT-Transformer,0.9619047619047618,0.030283784171966532,0.9121985917036669,0.0744717113349583,0.9912508451656524,0.007702642233449713
balance-scale,RW-FT-Transformer,0.9682539682539681,0.015873015873015872,0.9283950637917382,0.04794112144974623,0.9949695740365112,0.004383946502292422
balance-scale,RTDL-ResNet,0.9714285714285713,0.009523809523809513,0.934565721401367,0.031773273890921196,0.992393509127789,0.005483784896976029
balance-scale,RW-ResNet,0.9555555555555555,0.019825390471106024,0.9000740428398923,0.055241084289170114,0.99131845841785,0.006743600838652801
balance-scale,NODE,0.9349206349206349,0.025047196568348407,0.7949211219598691,0.11085999739163044,0.9841649763353617,0.00716571613812897
balance-scale,RW-NODE,0.9063492063492063,0.027902215605153886,0.7831499160894858,0.11534212690436656,0.9654090601757945,0.013436343917427733
mfeat-fourier,XGBoost,0.8380000000000001,0.028301943396169812,0.8369474131539614,0.028439688779287604,0.9825722222222222,0.004940247907009992
mfeat-fourier,CatBoost,0.8300000000000001,0.013416407864998725,0.8278577805300937,0.013920057594915027,0.9835833333333334,0.0028232664297464707
mfeat-fourier,LightGBM,0.8460000000000001,0.020832666655999678,0.8449582215491442,0.02141356392188614,0.9836194444444445,0.00456435549112716
mfeat-fourier,RandomForest,0.8219999999999998,0.02917190429162963,0.8200613191222942,0.029083503947013756,0.9811166666666669,0.0038842194188571954
mfeat-fourier,MLP,0.8205,0.014568802284333448,0.8170891747471319,0.015039888214511398,0.9802444444444444,0.004264550256344612
mfeat-fourier,RW-MLP,0.8085000000000001,0.02121909517392293,0.8049436417821546,0.022408878014197605,0.9801249999999999,0.0042737038682022195
mfeat-fourier,Linear-MLP,0.8125,0.01820027472320126,0.8076603319598824,0.024254904795070614,0.9794722222222221,0.004954795656734977
mfeat-fourier,FT-Transformer,0.8305,0.02360614326822574,0.8259586731728452,0.025488443114755198,0.9833416666666667,0.0037200045217681403
mfeat-fourier,RW-FT-Transformer,0.8094999999999999,0.01709532099727873,0.7980018359737093,0.01833079184487631,0.977547222222222,0.0039819044779608815
mfeat-fourier,RTDL-ResNet,0.818,0.02441311123146738,0.8136680375288018,0.026460563315929365,0.9812805555555555,0.0051800967923174976
mfeat-fourier,RW-ResNet,0.8314999999999999,0.014326548781894415,0.8265197575091646,0.013923435708863254,0.982536111111111,0.004223666602361193
mfeat-fourier,NODE,0.8240000000000001,0.01997498435543816,0.8221579174037993,0.019757949944734735,0.9799027777777779,0.005446941745853024
mfeat-fourier,RW-NODE,0.8009999999999999,0.025079872407968887,0.7986607052358305,0.025159276014759483,0.9769972222222222,0.004319573059892924
mfeat-karhunen,XGBoost,0.9425000000000001,0.01764227876437732,0.9424011631833078,0.017701402396301667,0.9960361111111112,0.001917473662638825
mfeat-karhunen,CatBoost,0.942,0.009539392014169428,0.9419035694009722,0.009697992679152442,0.9970333333333332,0.0015739389920251686
mfeat-karhunen,LightGBM,0.9535,0.015337861650177947,0.9533807922903067,0.015532774025300431,0.9971944444444445,0.0017071472847566013
mfeat-karhunen,RandomForest,0.9555,0.017385338650713688,0.9553887656303843,0.017490201582953925,0.9965222222222222,0.002141513541146408
mfeat-karhunen,MLP,0.9594999999999999,0.014221462653327886,0.9594388580713977,0.01436429272357992,0.9978361111111111,0.0008992838371465784
mfeat-karhunen,RW-MLP,0.9484999999999999,0.01643928222277357,0.9485915283677674,0.01628094163161643,0.997175,0.0011193479418013534
mfeat-karhunen,Linear-MLP,0.9545000000000001,0.021499999999999974,0.9544428768980071,0.02151856283970967,0.9966861111111112,0.0015571445257502824
mfeat-karhunen,FT-Transformer,0.9505000000000001,0.017528548142958084,0.9505512346555873,0.01730757703470373,0.9970416666666665,0.001844337764652531
mfeat-karhunen,RW-FT-Transformer,0.951,0.011789826122551576,0.9508200261958807,0.011924629922598358,0.9960861111111111,0.0016201589809203233
mfeat-karhunen,RTDL-ResNet,0.962,0.011874342087037928,0.9618595673157874,0.011936114071441744,0.9986555555555554,0.000705161744863999
