dataset,method,r2_mean,r2_std,rmse_mean,rmse_std
tecator,RTDL-ResNet,0.9948998778721719,0.003427588158408996,1.0308933019180375,0.3346431585162168
tecator,RW-ResNet,0.9955507787053518,0.0015239493469234127,0.9915914867107606,0.190581477920828
tecator,NODE,0.4679567608378899,0.0590672500166899,11.027733607060464,1.4332041156150102
tecator,RW-NODE,0.647198160749826,0.06281449200634116,9.0177480575678,1.6744558944120027
tecator,TabNet,0.8684538067906307,0.10909713947350552,5.037702549960285,2.333713342641752
tecator,RW-TabNet,0.856748784069624,0.09410191545829673,5.388758610953209,1.78068557553213
space_ga,RTDL-ResNet,0.770448035977187,0.021385467158784255,0.09398863101107371,0.005045981734088216
space_ga,RW-ResNet,0.7686803619394416,0.023027802037394223,0.0942836992382005,0.004498310669907064
space_ga,NODE,0.6040863645995125,0.024231827082541513,0.12379292888010329,0.009726453999325549
space_ga,RW-NODE,0.6642383691948213,0.0245353757552911,0.11385951292797525,0.007683064241764213
space_ga,TabNet,0.6252437443087041,0.03955804853690124,0.12052628418821745,0.012880237098639415
space_ga,RW-TabNet,0.6444482905705797,0.05822701376508795,0.11709272952893243,0.014135094055735663
boston,RTDL-ResNet,0.885258358215373,0.05818907951858551,2.81450466721232,0.6517101298078388
boston,RW-ResNet,0.8889720919414834,0.051914121375824046,2.772604937704039,0.5727747007459678
boston,NODE,0.6699703626215497,0.07065106996854408,4.939596469805375,0.9910503058558143
boston,RW-NODE,0.7097871674632141,0.04802528623055784,4.63655532152382,0.838198650765203
boston,TabNet,0.7762594750811642,0.09463003708541867,3.973838350629637,0.9177835888402788
boston,RW-TabNet,0.7208607160811856,0.1830373095916455,4.373726583514618,1.587817491489806
socmob,RTDL-ResNet,0.673180097756332,0.14171603056269808,24.67284408261853,8.613361756300204
socmob,RW-ResNet,0.6785284867949317,0.14579097362353036,24.216253389235455,8.198942471130414
socmob,NODE,0.6557704354045933,0.059103706091594654,26.32000953763835,8.692989055556076
socmob,RW-NODE,0.6456116257658768,0.07219830529289285,26.75871210246428,9.14280823010807
socmob,TabNet,0.6218389344460338,0.1489542152628595,27.088003384127795,9.637807182917994
socmob,RW-TabNet,0.7138371534046943,0.07771408069403692,23.430983937737903,7.485615300563553
sensory,RTDL-ResNet,0.0751368623078083,0.12113663119931178,0.7639331903885395,0.06421887175805002
sensory,RW-ResNet,0.0700430120634692,0.12485495678068681,0.7657246966691955,0.062443872828227005
sensory,NODE,0.001607723638210723,0.07189194416351613,0.7948288502015497,0.05281298011756713
sensory,RW-NODE,0.04543156869698521,0.11696073446523242,0.776149168912647,0.062194005674251214
sensory,TabNet,-0.12287235399439336,0.13996246950629132,0.842414817234203,0.07651961483919795
sensory,RW-TabNet,-0.1501499248133576,0.1726597138635528,0.850727957653727,0.08092588413870605
no2,RTDL-ResNet,0.46765706631310094,0.07650030666323412,0.5111687522586587,0.04562496800911264
no2,RW-ResNet,0.46509759565758807,0.09447916812003855,0.5114243928009559,0.051665647260115154
no2,NODE,0.41083679310687043,0.15403615759089442,0.5365759109488837,0.08088931236335405
no2,RW-NODE,0.4595290336848243,0.09050197500294993,0.5158473348885202,0.06487159348594608
no2,TabNet,0.36357934421674354,0.14508688195092168,0.5539174447897461,0.03050084708957436
no2,RW-TabNet,0.40648592923416854,0.10293717082353654,0.5407533614149689,0.06872391757868082
quake,RTDL-ResNet,-0.013399137560296415,0.019012294337892924,0.18597970620051452,0.010943909088165976
quake,RW-ResNet,-0.008657158604481852,0.02030044948214007,0.18553471350997977,0.010819371455370024
quake,NODE,-0.007320115242893344,0.011363575467567012,0.18546620369525166,0.011459560081866965
quake,RW-NODE,-0.006995352763283069,0.011444379159039385,0.1854386526089536,0.011498194940081932
quake,TabNet,-0.0068107369178941665,0.05606977340261669,0.1853325666604819,0.012049423808096649
quake,RW-TabNet,-0.002909553143152188,0.019330141843860147,0.18508142459960328,0.0119328742838063
house_16H,RTDL-ResNet,0.6167054650797311,0.04786483468376285,32857.68475077496,2938.385666065143
house_16H,RW-ResNet,0.5978273478187693,0.05790118367951345,33578.48993878619,2736.809507215005
house_16H,NODE,0.5727128891211297,0.04085021640053319,34769.562780483044,3300.195035603765
house_16H,RW-NODE,0.5614146257367634,0.05653750612987502,35190.76479125034,3593.2503989970664
house_16H,TabNet,0.5392694722284054,0.04318974650184084,36195.07749514199,4224.306309948019
house_16H,RW-TabNet,0.5300681280887736,0.052442576581874595,36460.91973016193,3839.1272745165465
SWD,RTDL-ResNet,0.35764980146834213,0.07512843669299031,0.6513967992490542,0.0380386591120346
SWD,RW-ResNet,0.3570284265727349,0.07505156793342632,0.6517363615164794,0.03840694188825121
SWD,NODE,0.3790888838950033,0.08373842968169384,0.6403835963497112,0.04517569485887621
SWD,RW-NODE,0.3677661417540316,0.08324739628673984,0.6462780756864386,0.0457791932327279
SWD,TabNet,0.3326990576695853,0.10753220258580577,0.6633930353571114,0.058238394368595466
SWD,RW-TabNet,0.3349465220453232,0.10727129529114868,0.6626459315358815,0.06217915991221608
ERA,RTDL-ResNet,0.33070561903681117,0.07726043634854171,1.6463014084301988,0.10868972801198445
ERA,RW-ResNet,0.3283216367188634,0.0819758886756266,1.648549161539106,0.10800083002787587
ERA,NODE,0.3498649702309606,0.06470139821345501,1.6235593751565922,0.10393526741919856
ERA,RW-NODE,0.3412843231750605,0.06374245218948416,1.6349582913781808,0.11243265797268691
ERA,TabNet,0.3444676474683143,0.07703465425290633,1.628477725368727,0.10287730487839464
ERA,RW-TabNet,0.3445009375545603,0.07621757298752373,1.6285093746185588,0.10087933849550788
FacultySalaries,RTDL-ResNet,0.6151407711705612,0.406393457575356,1.7284495194216347,1.165708878717797
FacultySalaries,RW-ResNet,0.6243152492011641,0.3533649167895425,1.6838084953159118,1.034356967909879
FacultySalaries,NODE,-0.007432049472367685,0.572308001913243,3.334333601870668,1.562693096713623
FacultySalaries,RW-NODE,0.04678465381910135,0.5578492277668724,3.2278640834649073,1.52074478587631
FacultySalaries,TabNet,0.3046472391020398,0.5375618398690061,2.495907106909263,0.9444815362959987
FacultySalaries,RW-TabNet,0.2371879660931823,0.7434556925001252,2.3536127713764063,0.9204655468114
wine_quality,RTDL-ResNet,-0.03206288838798392,0.036333590179398675,11674.826163425365,5474.796511301578
wine_quality,RW-ResNet,-0.020879094546576816,0.023695324614318836,11649.460597246145,5560.768257863737
wine_quality,NODE,0.021761220502532187,0.014566735070112354,11447.802119149828,5557.157761617219
wine_quality,RW-NODE,0.016971658632433863,0.012827714618638545,11468.89957273316,5545.285191512453
wine_quality,TabNet,0.015803221116223308,0.014460085497638402,11462.956425922051,5508.625433707554
wine_quality,RW-TabNet,-0.014825223962708422,0.05253532496815105,11584.117463377868,5485.35962381154
Moneyball,RTDL-ResNet,0.9386435730981528,0.010818536883322122,22.544169938759776,1.949805802837114
Moneyball,RW-ResNet,0.9369858744108847,0.011151201341715308,22.856710231091764,2.188659912393806
Moneyball,NODE,0.9350678852579304,0.010858153538629824,23.205406377387572,2.147565399471077
Moneyball,RW-NODE,0.939963084956854,0.010426949050001154,22.296372153879787,2.0695535957142526
Moneyball,TabNet,0.919221737320048,0.013184164031011627,25.8764394816041,2.137585305372147
Moneyball,RW-TabNet,0.917883226978953,0.014164244321735192,26.06278961883217,2.029225523605923
black_friday,RTDL-ResNet,0.4304452993432294,0.022795684027456277,3832.3608301783934,88.88847573753085
black_friday,RW-ResNet,0.4320004777519257,0.021892713088287843,3827.246186302718,89.52783180928097
black_friday,NODE,0.3971487076178605,0.020981726940454908,3943.4105864199905,101.44871095052277
black_friday,RW-NODE,0.4031054468133074,0.01975169982322637,3923.8131674187985,93.7875598122329
black_friday,TabNet,0.42130006784321383,0.014787741430599813,3863.6383635081247,76.95827169728398
black_friday,RW-TabNet,0.4092712328936211,0.014272588653405523,3903.55794643167,73.37809184039033
wine-quality-white,RTDL-ResNet,0.9678979277341341,0.04473299988276628,4116.888854170289,3115.8954689569514
wine-quality-white,RW-ResNet,0.9787831912247587,0.035461114655336676,3167.691294894762,2657.5791547306694
wine-quality-white,NODE,0.9778928389522014,0.035640561325376505,3217.916931580271,2854.032248625978
wine-quality-white,RW-NODE,0.9566756255239918,0.04082561519836321,4881.134286108858,3525.569229470715
